epoch	lr	loss_train	error_eval_p1	error_eval_p2	
1.000000	0.000100	3687.242505	51.246609	26.715832	
2.000000	0.000100	778.678336	40.021930	22.254647	
3.000000	0.000100	573.325530	48.102876	20.658722	
4.000000	0.000100	477.688458	41.690783	20.343701	
5.000000	0.000100	415.418913	40.609012	19.004237	
6.000000	0.000100	372.863017	40.645386	18.724370	
7.000000	0.000100	334.879458	35.348787	18.351968	
8.000000	0.000100	307.518577	35.199782	18.563534	
9.000000	0.000100	287.766694	43.576770	17.962226	
10.000000	0.000100	267.455405	33.701360	17.593444	
11.000000	0.000100	251.177442	33.303074	17.230380	
12.000000	0.000100	235.164679	36.708947	16.966319	
13.000000	0.000100	223.238010	35.594051	16.576606	
14.000000	0.000100	213.967779	32.580809	16.368331	
15.000000	0.000100	201.638588	36.154246	17.064399	
16.000000	0.000100	193.340029	36.819776	16.464645	
17.000000	0.000100	184.301672	37.795012	15.685351	
18.000000	0.000100	179.327390	36.224969	16.231797	
19.000000	0.000100	172.860845	31.805959	15.735092	
20.000000	0.000100	165.382512	34.348483	16.227252	
21.000000	0.000100	160.686900	32.673952	15.488996	
22.000000	0.000090	154.015067	33.074842	15.268537	
23.000000	0.000090	148.717920	36.839360	14.996224	
24.000000	0.000090	144.933968	33.512502	15.060886	
25.000000	0.000090	139.729244	37.975159	14.932591	
26.000000	0.000090	137.314249	33.640534	14.351829	
27.000000	0.000090	135.278906	32.322051	14.481270	
28.000000	0.000090	132.692686	37.599215	14.410171	
29.000000	0.000090	129.651079	35.219604	14.096964	
30.000000	0.000090	126.491921	35.936768	13.875556	
31.000000	0.000090	123.859060	35.945479	13.779985	
32.000000	0.000090	119.931494	30.274071	13.703114	
33.000000	0.000090	120.316575	30.250657	13.880664	
34.000000	0.000090	116.736119	33.809242	13.498736	
35.000000	0.000090	113.940661	30.468956	13.948893	
36.000000	0.000090	113.556133	34.221599	13.764518	
37.000000	0.000090	111.246200	29.964513	13.523246	
38.000000	0.000090	110.169154	31.867349	13.706225	
39.000000	0.000090	108.098947	28.984088	13.473974	
40.000000	0.000090	107.284739	30.468507	13.673024	
41.000000	0.000090	103.828212	32.009289	13.610165	
42.000000	0.000090	103.703761	34.273580	13.585746	
43.000000	0.000081	102.662014	33.606236	13.300396	
44.000000	0.000081	98.237256	28.833197	12.989931	
45.000000	0.000081	96.902112	29.925037	12.808528	
46.000000	0.000081	95.934143	35.460512	12.754788	
47.000000	0.000081	94.894210	30.621823	13.348431	
48.000000	0.000081	93.758088	33.068708	13.153948	
49.000000	0.000081	93.755045	33.482383	12.880254	
50.000000	0.000081	92.519674	27.955149	13.049485	
51.000000	0.000081	91.603811	29.639086	13.251191	
52.000000	0.000081	89.500187	28.740299	12.764417	
53.000000	0.000081	88.893127	36.349955	12.871879	
54.000000	0.000081	88.668841	31.080575	12.677072	
55.000000	0.000081	87.522720	29.219662	12.770709	
56.000000	0.000081	86.454602	30.997147	13.188036	
57.000000	0.000081	86.181277	27.943335	12.953348	
58.000000	0.000081	85.477480	30.707363	12.809850	
59.000000	0.000081	85.151499	30.309340	13.017876	
60.000000	0.000081	83.847593	28.835206	12.712381	
61.000000	0.000081	82.311519	31.784697	13.039698	
62.000000	0.000081	82.579989	28.373972	13.031894	
63.000000	0.000081	81.329847	28.010667	12.691226	
64.000000	0.000081	80.084916	28.426014	12.928926	
65.000000	0.000073	78.900334	29.828487	12.682391	
66.000000	0.000073	78.402702	30.698718	12.712989	
67.000000	0.000073	77.776702	29.566240	12.881106	
68.000000	0.000073	77.030551	28.118466	12.764671	
69.000000	0.000073	76.842580	29.920689	12.849544	
70.000000	0.000073	75.814540	28.907871	12.768075	
71.000000	0.000073	75.046614	31.670436	12.895808	
72.000000	0.000073	75.522055	30.310518	13.098477	
73.000000	0.000073	74.137512	29.298997	12.863227	
74.000000	0.000073	74.288795	29.982273	12.776446	
75.000000	0.000073	72.985287	29.364703	12.953081	
76.000000	0.000073	72.866350	29.184720	12.804478	
77.000000	0.000073	72.863999	29.637156	12.603182	
78.000000	0.000073	71.933504	28.551037	12.883509	
79.000000	0.000073	72.309402	29.614917	12.708478	
80.000000	0.000073	71.130135	28.591207	12.890558	
81.000000	0.000073	71.337507	31.781764	12.801511	
82.000000	0.000073	70.764023	29.982470	12.836045	
83.000000	0.000073	70.773595	30.079297	12.486825	
84.000000	0.000073	69.344656	32.596860	12.585773	
85.000000	0.000073	68.997933	29.234921	12.813226	
86.000000	0.000066	69.575168	28.896082	12.661173	
87.000000	0.000066	67.213004	32.286102	12.789227	
88.000000	0.000066	66.750110	29.773824	12.649193	
89.000000	0.000066	66.407732	28.843633	12.857041	
90.000000	0.000066	65.602080	28.739400	12.649397	
91.000000	0.000066	66.127305	29.846535	12.574613	
92.000000	0.000066	64.818753	30.886305	12.867070	
93.000000	0.000066	64.688028	27.824969	13.063068	
94.000000	0.000066	64.727322	28.200758	12.603948	
95.000000	0.000066	64.355550	28.899579	12.613576	
96.000000	0.000066	63.762852	28.461384	12.522124	
97.000000	0.000066	63.616802	29.511239	12.934258	
98.000000	0.000066	62.575629	29.137845	12.489079	
99.000000	0.000066	63.867753	31.568909	12.687942	
100.000000	0.000066	64.078756	28.452260	12.745509	
101.000000	0.000066	63.100760	29.119959	12.390116	
102.000000	0.000066	63.310792	28.821450	12.569493	
103.000000	0.000066	61.794422	28.175702	12.421003	
104.000000	0.000066	61.866259	29.008599	12.717721	
105.000000	0.000066	61.791277	29.618324	12.323912	
106.000000	0.000066	61.291741	29.338192	12.416457	
107.000000	0.000066	61.345548	28.220139	12.581295	
108.000000	0.000059	60.247878	28.052831	12.607918	
109.000000	0.000059	59.216016	28.649155	13.002187	
110.000000	0.000059	59.082766	29.351101	12.650161	
111.000000	0.000059	59.203656	27.313082	13.146605	
112.000000	0.000059	58.742134	29.048818	12.638583	
113.000000	0.000059	58.978357	28.227823	12.324534	
114.000000	0.000059	57.772755	28.307303	12.539991	
115.000000	0.000059	57.937492	29.799125	12.342165	
116.000000	0.000059	57.854214	30.540384	12.313060	
117.000000	0.000059	58.424151	28.035310	12.958337	
118.000000	0.000059	57.643317	27.925361	12.844113	
119.000000	0.000059	57.547765	28.892100	12.747883	
120.000000	0.000059	56.342678	27.992211	12.259955	
121.000000	0.000059	56.549216	29.130667	12.675069	
122.000000	0.000059	57.464335	31.410586	12.620462	
123.000000	0.000059	56.711933	28.570355	12.245825	
124.000000	0.000059	56.195212	28.861801	12.422696	
125.000000	0.000059	55.489452	28.313773	12.727441	
126.000000	0.000059	55.987465	27.781790	12.399670	
127.000000	0.000059	55.520379	28.808344	12.476483	
128.000000	0.000059	55.596493	28.831206	12.857285	
129.000000	0.000053	54.369557	28.218261	12.776186	
130.000000	0.000053	53.920182	29.049671	12.639936	
131.000000	0.000053	53.438410	29.079840	12.554623	
132.000000	0.000053	52.754652	27.614492	12.992450	
133.000000	0.000053	53.608349	28.061471	12.272679	
134.000000	0.000053	53.745821	27.741359	12.434261	
135.000000	0.000053	53.292806	28.037266	12.592230	
136.000000	0.000053	53.462906	28.015885	12.740342	
137.000000	0.000053	52.247523	28.247212	12.487777	
138.000000	0.000053	51.707935	28.347142	12.499143	
139.000000	0.000053	52.772819	29.069097	12.499847	
140.000000	0.000053	53.038374	29.069436	13.148113	
141.000000	0.000053	52.252898	28.765936	12.494514	
142.000000	0.000053	51.860463	29.071139	12.663989	
143.000000	0.000053	52.114114	28.673515	12.394305	
144.000000	0.000053	51.173699	29.192002	12.371361	
145.000000	0.000053	51.250570	28.215721	12.842695	
146.000000	0.000053	51.642441	28.709542	12.485553	
147.000000	0.000053	51.522380	28.199309	12.503914	
148.000000	0.000053	50.665899	29.081462	12.017841	
149.000000	0.000053	50.612239	29.353603	12.485403	
150.000000	0.000048	50.572062	29.375559	12.606969	
151.000000	0.000048	50.092171	28.871020	12.350961	
152.000000	0.000048	49.417683	28.246389	12.214778	
153.000000	0.000048	48.972942	30.054977	12.143887	
154.000000	0.000048	49.091430	28.895924	12.272893	
155.000000	0.000048	49.436683	29.865821	12.208337	
156.000000	0.000048	48.977909	28.659327	12.529092	
157.000000	0.000048	49.330619	28.505684	12.517975	
158.000000	0.000048	48.382036	29.452658	12.868498	
159.000000	0.000048	48.993467	27.963610	12.502641	
160.000000	0.000048	48.602751	28.345675	12.481717	
161.000000	0.000048	48.683441	28.178100	12.374884	
162.000000	0.000048	48.129412	28.810512	12.420977	
163.000000	0.000048	47.928861	29.572187	12.318368	
164.000000	0.000048	47.548137	30.171803	12.196212	
165.000000	0.000048	47.587888	29.473326	12.559209	
166.000000	0.000048	47.635931	27.794300	12.547818	
167.000000	0.000048	46.757140	30.060823	12.415107	
168.000000	0.000048	47.608136	29.510094	12.274351	
169.000000	0.000048	47.356614	29.692461	12.294973	
170.000000	0.000048	47.412943	28.041099	12.218160	
171.000000	0.000048	47.590730	29.216457	12.298798	
172.000000	0.000043	46.216230	29.145432	12.459939	
173.000000	0.000043	46.256722	29.122360	12.292888	
174.000000	0.000043	45.986229	29.005206	12.463639	
175.000000	0.000043	46.091704	28.332149	12.369906	
176.000000	0.000043	45.604686	29.673340	12.700801	
177.000000	0.000043	45.827809	28.484379	12.131446	
178.000000	0.000043	45.776929	27.521560	12.216127	
179.000000	0.000043	45.442667	28.956659	12.396212	
180.000000	0.000043	45.131571	28.583584	12.457136	
181.000000	0.000043	45.237721	30.997323	12.247349	
182.000000	0.000043	45.417881	28.857331	12.202846	
183.000000	0.000043	44.414818	28.697074	11.833188	
184.000000	0.000043	45.231166	28.945019	12.261902	
185.000000	0.000043	44.620400	29.805488	12.301567	
186.000000	0.000043	45.061872	28.650428	12.249121	
187.000000	0.000043	44.866813	29.849090	11.960824	
188.000000	0.000043	44.858189	28.915204	12.066449	
189.000000	0.000043	44.647138	29.071297	12.359983	
190.000000	0.000043	44.681799	29.296511	12.239408	
191.000000	0.000043	44.263273	28.784279	12.121688	
192.000000	0.000043	43.944076	30.099442	12.275602	
193.000000	0.000039	43.761489	28.974499	12.536194	
194.000000	0.000039	42.843266	29.771907	12.428466	
195.000000	0.000039	43.407431	28.239434	12.047411	
196.000000	0.000039	43.046042	29.221812	12.508195	
197.000000	0.000039	43.145123	29.612116	12.066525	
198.000000	0.000039	43.079868	30.158064	12.418421	
199.000000	0.000039	43.047463	29.578016	12.592635	
200.000000	0.000039	42.950511	28.264687	12.520963	
201.000000	0.000039	42.816121	28.063330	12.241913	
202.000000	0.000039	42.655357	28.314316	12.264519	
203.000000	0.000039	42.672608	28.889224	12.754899	
204.000000	0.000039	42.248739	28.787667	12.079959	
205.000000	0.000039	42.271155	29.784323	12.358217	
206.000000	0.000039	42.372114	27.964602	12.471761	
207.000000	0.000039	41.706762	28.444511	12.545027	
208.000000	0.000039	41.845477	28.474545	12.346289	
209.000000	0.000039	41.750184	28.685196	12.286083	
210.000000	0.000039	41.602182	28.589891	12.306850	
211.000000	0.000039	41.490795	28.700890	12.501043	
212.000000	0.000039	41.537480	28.891691	12.426391	
213.000000	0.000039	41.717718	29.058765	12.161715	
214.000000	0.000039	40.977594	29.982837	12.214271	
215.000000	0.000035	40.910326	28.692957	12.092205	
216.000000	0.000035	40.920401	27.843298	12.430045	
217.000000	0.000035	40.981254	29.053043	12.700449	
218.000000	0.000035	40.185526	28.575707	12.459789	
219.000000	0.000035	40.866199	29.291294	12.388711	
220.000000	0.000035	40.197983	28.490519	12.522577	
221.000000	0.000035	40.226825	28.929895	12.381838	
222.000000	0.000035	40.405848	28.787062	12.326576	
223.000000	0.000035	39.550819	28.921770	12.099780	
224.000000	0.000035	39.841494	28.934973	12.288755	
225.000000	0.000035	40.038027	28.572331	12.195559	
226.000000	0.000035	40.315696	28.488684	12.486770	
227.000000	0.000035	39.762659	30.857974	12.423917	
228.000000	0.000035	40.138403	29.149729	11.965703	
229.000000	0.000035	39.851437	28.580797	12.444089	
230.000000	0.000035	39.728825	28.497135	12.291883	
231.000000	0.000035	39.634165	29.139388	12.350883	
232.000000	0.000035	39.244399	28.159264	12.516646	
233.000000	0.000035	39.501246	28.974715	12.016773	
234.000000	0.000035	39.718743	28.871493	12.331941	
235.000000	0.000035	39.165321	29.004636	12.090796	
236.000000	0.000031	38.976161	29.996538	12.231141	
237.000000	0.000031	38.528208	28.737292	12.114818	
238.000000	0.000031	38.815363	29.364525	12.063236	
239.000000	0.000031	38.172389	29.530317	12.252151	
240.000000	0.000031	37.957960	28.731902	12.252091	
241.000000	0.000031	38.102489	29.710186	12.160599	
242.000000	0.000031	38.357773	28.798525	12.324729	
243.000000	0.000031	38.099240	29.083738	12.169484	
244.000000	0.000031	38.245013	28.482987	12.304686	
245.000000	0.000031	38.113833	29.333943	11.943965	
246.000000	0.000031	38.262401	29.516182	11.910507	
247.000000	0.000031	37.902223	29.721209	12.431945	
248.000000	0.000031	37.637426	29.390497	12.077522	
249.000000	0.000031	37.960367	28.593819	12.077935	
250.000000	0.000031	38.025483	30.028371	11.915966	
251.000000	0.000031	37.748511	29.807236	12.353322	
252.000000	0.000031	37.402596	29.542730	12.260111	
253.000000	0.000031	37.792391	28.967105	11.987689	
254.000000	0.000031	37.206158	29.959929	12.320022	
255.000000	0.000031	37.277291	28.804841	12.364236	
256.000000	0.000031	37.043894	28.626907	12.192470	
257.000000	0.000031	37.215544	28.384139	12.247571	
258.000000	0.000028	36.622479	29.078105	12.240531	
259.000000	0.000028	36.554800	28.784072	12.103840	
260.000000	0.000028	36.543482	28.825926	12.166485	
261.000000	0.000028	36.497041	29.094489	12.114697	
